9.41372307692 -12.7380264874 15.0694148148 29.5698007843 [61, 100]
5.73470769231 -11.0205913277 15.3069259259 33.9884737255 [107, 176]
11.84 -12.144049479 15.9437925926 29.0897537255 [46, 36]
3.58516923077 -12.3225078319 25.6571481481 32.5504658824 [123, 71]
3.05987692308 -11.0925590588 40.5367333333 35.348972549 [155, 57]
8.72307692308 -10.2248739496 23.48 29.0779607843 [70, 5]
18.3740923077 -11.9945266555 15.0189259259 30.0323796078 [13, 21]
5.08492307692 -9.4394487395 33.8820148148 30.1897537255 [106, 9]
7.88363076923 -11.7305718319 15.8589259259 30.920614902 [77, 146]
6.64430769231 -11.3063663866 15.6253925926 32.3106384314 [92, 163]
7.63076923077 -12.6673478992 16.6845333333 29.6010007843 [74, 66]
3.49569230769 -12.9927378824 20.2790148148 34.5842007843 [131, 116]
7.88363076923 -9.96780531092 25.5149259259 29.1698384314 [77, 4]
5.14590769231 -12.9435277983 17.0802592593 31.3390870588 [99, 98]

9.41372307692 -12.7380264874 15.0694148148 29.5698007843 [61, 100]
5.73470769231 -11.0205913277 15.3069259259 33.9884737255 [107, 176]
11.84 -12.144049479 15.9437925926 29.0897537255 [46, 36]
3.58516923077 -12.3225078319 25.6571481481 32.5504658824 [123, 71]
3.05987692308 -11.0925590588 40.5367333333 35.348972549 [155, 57]
8.72307692308 -10.2248739496 23.48 29.0779607843 [70, 5]
18.3740923077 -11.9945266555 15.0189259259 30.0323796078 [13, 21]
5.08492307692 -9.4394487395 33.8820148148 30.1897537255 [106, 9]
7.63076923077 -12.6673478992 16.6845333333 29.6010007843 [74, 66]
3.49569230769 -12.9927378824 20.2790148148 34.5842007843 [131, 116]
7.88363076923 -9.96780531092 25.5149259259 29.1698384314 [77, 4]
5.14590769231 -12.9435277983 17.0802592593 31.3390870588 [99, 98]
15.8190769231 -12.4862612437 15.0526814815 29.4412517647 [24, 44]
5.57107692308 -12.8010621849 15.500237037 31.5799341176 [96, 119]
16.9633230769 -12.6472621176 15.944 29.5159717647 [18, 61]
7.0048 -10.1690826218 26.3456 29.3648282353 [84, 10]
3.89643076923 -12.4890847731 17.9367333333 38.0930070588 [147, 160]
3.35772307692 -12.9857113277 21.5391037037 34.9204235294 [135, 113]
3.44676923077 -11.5183666555 31.0493925926 32.529932549 [128, 53]
6.25212307692 -12.9132918319 15.7527333333 30.6434070588 [87, 100]
10.2692307692 -12.560497479 15.642037037 29.1379607843 [55, 55]

9.41372307692 -12.7380264874 15.0694148148 29.5698007843 [61, 100]
11.84 -12.144049479 15.9437925926 29.0897537255 [46, 36]
3.58516923077 -12.3225078319 25.6571481481 32.5504658824 [123, 71]
8.72307692308 -10.2248739496 23.48 29.0779607843 [70, 5]
18.3740923077 -11.9945266555 15.0189259259 30.0323796078 [13, 21]
5.08492307692 -9.4394487395 33.8820148148 30.1897537255 [106, 9]
7.63076923077 -12.6673478992 16.6845333333 29.6010007843 [74, 66]
3.49569230769 -12.9927378824 20.2790148148 34.5842007843 [131, 116]
7.88363076923 -9.96780531092 25.5149259259 29.1698384314 [77, 4]
5.14590769231 -12.9435277983 17.0802592593 31.3390870588 [99, 98]
15.8190769231 -12.4862612437 15.0526814815 29.4412517647 [24, 44]
5.57107692308 -12.8010621849 15.500237037 31.5799341176 [96, 119]
7.0048 -10.1690826218 26.3456 29.3648282353 [84, 10]
3.89643076923 -12.4890847731 17.9367333333 38.0930070588 [147, 160]
3.35772307692 -12.9857113277 21.5391037037 34.9204235294 [135, 113]
3.44676923077 -11.5183666555 31.0493925926 32.529932549 [128, 53]
6.25212307692 -12.9132918319 15.7527333333 30.6434070588 [87, 100]
10.2692307692 -12.560497479 15.642037037 29.1379607843 [55, 55]
3.09729230769 -10.681762958 40.8775925926 34.3728596078 [149, 47]
5.44756923077 -11.8802430924 15.0434 33.2470117647 [105, 157]
3.76092307692 -12.9852466555 19.1623925926 33.6810070588 [123, 113]
13.5228307692 -12.4134738824 15.116 29.1893458824 [36, 43]
3.00092307692 -12.0151835966 33.4727925926 35.2178007843 [149, 74]
8.01052307692 -12.8739963697 15.309 29.7370007843 [71, 87]
4.86910769231 -11.3738019496 16.7346 41.695212549 [161, 195]
10.2323076923 -12.7215193277 15.2583333333 29.1850196078 [55, 65]
5.09107692308 -10.5033158992 15.0956148148 37.5688658824 [132, 197]
4.83710769231 -11.0099506555 27.9577703704 30.5044235294 [105, 33]

9.41372307692 -12.7380264874 15.0694148148 29.5698007843 [61, 100]
11.84 -12.144049479 15.9437925926 29.0897537255 [46, 36]
3.58516923077 -12.3225078319 25.6571481481 32.5504658824 [123, 71]
8.72307692308 -10.2248739496 23.48 29.0779607843 [70, 5]
5.08492307692 -9.4394487395 33.8820148148 30.1897537255 [106, 9]
7.63076923077 -12.6673478992 16.6845333333 29.6010007843 [74, 66]
3.49569230769 -12.9927378824 20.2790148148 34.5842007843 [131, 116]
7.88363076923 -9.96780531092 25.5149259259 29.1698384314 [77, 4]
5.14590769231 -12.9435277983 17.0802592593 31.3390870588 [99, 98]
5.57107692308 -12.8010621849 15.500237037 31.5799341176 [96, 119]
7.0048 -10.1690826218 26.3456 29.3648282353 [84, 10]
3.89643076923 -12.4890847731 17.9367333333 38.0930070588 [147, 160]
3.35772307692 -12.9857113277 21.5391037037 34.9204235294 [135, 113]
3.44676923077 -11.5183666555 31.0493925926 32.529932549 [128, 53]
6.25212307692 -12.9132918319 15.7527333333 30.6434070588 [87, 100]
10.2692307692 -12.560497479 15.642037037 29.1379607843 [55, 55]
5.44756923077 -11.8802430924 15.0434 33.2470117647 [105, 157]
3.76092307692 -12.9852466555 19.1623925926 33.6810070588 [123, 113]
3.00092307692 -12.0151835966 33.4727925926 35.2178007843 [149, 74]
8.01052307692 -12.8739963697 15.309 29.7370007843 [71, 87]
4.86910769231 -11.3738019496 16.7346 41.695212549 [161, 195]
10.2323076923 -12.7215193277 15.2583333333 29.1850196078 [55, 65]
5.09107692308 -10.5033158992 15.0956148148 37.5688658824 [132, 197]
4.83710769231 -11.0099506555 27.9577703704 30.5044235294 [105, 33]
4.40603076923 -11.4167647731 27.4087703704 30.9755607843 [110, 43]
3.06443076923 -11.2850866555 36.6359333333 34.221772549 [145, 56]
3.4296 -9.37746662185 43.7063333333 32.741612549 [139, 23]
8.06369230769 -12.8305882353 15.0455333333 29.8849537255 [71, 99]
5.73563076923 -12.9260735462 16.5801481481 30.8202384314 [92, 94]
4.80923076923 -11.1406655462 15.1333333333 36.8520784314 [130, 185]
11.0 -12.7942857143 15.0 29.1843137255 [50, 75]
8.04492307692 -12.6514957983 15.0351703704 30.1170070588 [72, 113]
5.65107692308 -12.8983916639 15.8251259259 31.2340831373 [94, 109]
7.32830769231 -12.874594958 15.2459481481 30.1164737255 [77, 98]

9.41372307692 -12.7380264874 15.0694148148 29.5698007843 [61, 100]
