3.48473919458 16.4608925926 0.131465374022 [74, 181]
0.518041743012 19.502137037 -0.034393511756 [110, 83]
5.0453191207 16.9770828704 0.108033151277 [5, 89]
1.72285934411 15.9368981481 0.155092499638 [24, 97]
5.05453060535 15.1630939815 0.106099105481 [111, 196]
1.23130454178 15.456849537 0.17436304582 [47, 56]
1.24912380975 15.1070717593 0.180554878792 [43, 66]
0.635955046468 16.6456384259 -0.0156024789906 [109, 120]

0.518041743012 19.502137037 -0.034393511756 [110, 83]
5.05453060535 15.1630939815 0.106099105481 [111, 196]
1.24912380975 15.1070717593 0.180554878792 [43, 66]
0.635955046468 16.6456384259 -0.0156024789906 [109, 120]
0.114675405643 17.4304259259 -0.0900518378589 [98, 91]
1.0914622581 15.0860092593 0.0572680272562 [76, 117]
0.14026338888 16.3174425926 -0.0873005237566 [90, 98]

5.05453060535 15.1630939815 0.106099105481 [111, 196]
1.24912380975 15.1070717593 0.180554878792 [43, 66]
0.114675405643 17.4304259259 -0.0900518378589 [98, 91]
1.0914622581 15.0860092593 0.0572680272562 [76, 117]
0.14026338888 16.3174425926 -0.0873005237566 [90, 98]
1.66978019039 15.056349537 0.143130495125 [61, 97]
8.18757209387 15.0157162037 0.0644336912377 [3, 18]

1.24912380975 15.1070717593 0.180554878792 [43, 66]
0.114675405643 17.4304259259 -0.0900518378589 [98, 91]
1.0914622581 15.0860092593 0.0572680272562 [76, 117]
0.14026338888 16.3174425926 -0.0873005237566 [90, 98]
1.66978019039 15.056349537 0.143130495125 [61, 97]
8.18757209387 15.0157162037 0.0644336912377 [3, 18]
1.5266581628 15.0159148148 0.192892133149 [42, 85]
1.33430271451 15.0734606481 0.166130135763 [99, 172]
0.0715319135022 17.704737037 -0.0942900472057 [102, 93]
1.04180962692 15.2319259259 0.0494979850575 [88, 126]

0.114675405643 17.4304259259 -0.0900518378589 [98, 91]
1.0914622581 15.0860092593 0.0572680272562 [76, 117]
0.14026338888 16.3174425926 -0.0873005237566 [90, 98]
1.66978019039 15.056349537 0.143130495125 [61, 97]
8.18757209387 15.0157162037 0.0644336912377 [3, 18]
1.5266581628 15.0159148148 0.192892133149 [42, 85]
1.33430271451 15.0734606481 0.166130135763 [99, 172]
0.0715319135022 17.704737037 -0.0942900472057 [102, 93]
1.04180962692 15.2319259259 0.0494979850575 [88, 126]
0.586291067364 15.5262606481 -0.023566080962 [91, 119]
1.72539168174 15.0273425926 0.151269320464 [84, 137]
7.20886986664 15.0631384259 0.0703566083054 [9, 20]

0.114675405643 17.4304259259 -0.0900518378589 [98, 91]
1.0914622581 15.0860092593 0.0572680272562 [76, 117]
0.14026338888 16.3174425926 -0.0873005237566 [90, 98]
1.66978019039 15.056349537 0.143130495125 [61, 97]
8.18757209387 15.0157162037 0.0644336912377 [3, 18]
1.5266581628 15.0159148148 0.192892133149 [42, 85]
1.33430271451 15.0734606481 0.166130135763 [99, 172]
0.0715319135022 17.704737037 -0.0942900472057 [102, 93]
1.04180962692 15.2319259259 0.0494979850575 [88, 126]
0.586291067364 15.5262606481 -0.023566080962 [91, 119]
1.72539168174 15.0273425926 0.151269320464 [84, 137]
7.20886986664 15.0631384259 0.0703566083054 [9, 20]

0.114675405643 17.4304259259 -0.0900518378589 [98, 91]
1.0914622581 15.0860092593 0.0572680272562 [76, 117]
0.14026338888 16.3174425926 -0.0873005237566 [90, 98]
1.66978019039 15.056349537 0.143130495125 [61, 97]
8.18757209387 15.0157162037 0.0644336912377 [3, 18]
1.5266581628 15.0159148148 0.192892133149 [42, 85]
1.33430271451 15.0734606481 0.166130135763 [99, 172]
0.0715319135022 17.704737037 -0.0942900472057 [102, 93]
1.04180962692 15.2319259259 0.0494979850575 [88, 126]
0.586291067364 15.5262606481 -0.023566080962 [91, 119]
1.72539168174 15.0273425926 0.151269320464 [84, 137]
7.20886986664 15.0631384259 0.0703566083054 [9, 20]

0.114675405643 17.4304259259 -0.0900518378589 [98, 91]
1.0914622581 15.0860092593 0.0572680272562 [76, 117]
0.14026338888 16.3174425926 -0.0873005237566 [90, 98]
1.66978019039 15.056349537 0.143130495125 [61, 97]
8.18757209387 15.0157162037 0.0644336912377 [3, 18]
1.5266581628 15.0159148148 0.192892133149 [42, 85]
1.33430271451 15.0734606481 0.166130135763 [99, 172]
0.0715319135022 17.704737037 -0.0942900472057 [102, 93]
0.586291067364 15.5262606481 -0.023566080962 [91, 119]
1.72539168174 15.0273425926 0.151269320464 [84, 137]
